secs, cad, hr, km, kph, nm, watts, alt, lon, lat, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
45,0,123,0.02751,0,0,0,0,0,0,0,0,-6.60238e+13,0,-255,0,0,0,0,0,0,0,0
46,0,123.375,0.0281337,0,0,0,0,0,0,0,0,-1.18843e+14,0,-255,0,0,0,0,0,0,0,0
47,0,123.75,0.0287575,0,0,0,0,0,0,0,0,-2.13917e+14,0,-255,0,0,0,0,0,0,0,0
48,0,124.125,0.0293813,0,0,0,0,0,0,0,0,-3.85051e+14,0,-255,0,0,0,0,0,0,0,0
49,0,124.5,0.030005,0,0,0,0,0,0,0,0,-6.93092e+14,0,-255,0,0,0,0,0,0,0,0
50,0,124.875,0.0306288,0,0,0,0,0,0,0,0,-1.24756e+15,0,-255,0,0,0,0,0,0,0,0
51,0,125.25,0.0312525,0,0,0,0,0,0,0,0,-2.24562e+15,0,-255,0,0,0,0,0,0,0,0
52,0,125.625,0.0318763,0,0,0,0,0,0,0,0,-4.04211e+15,0,-255,0,0,0,0,0,0,0,0
53,0,126,0.0325,0,0,0,0,0,0,0,0,-7.2758e+15,0,-255,0,0,0,0,0,0,0,0
54,1.5,125.667,0.0334208,0.1194,0,0,0,0,0,0,0,-1.30964e+16,0,-255,0,0,0,0,0,0,0,0
55,3,125.333,0.0343417,0.2388,0,0,0,0,0,0,0,-2.35736e+16,0,-255,0,0,0,0,0,0,0,0
56,4.5,125,0.0352625,0.3582,0,0,0,0,0,0,0,-4.24324e+16,0,-255,0,0,0,0,0,0,0,0
57,6,124.667,0.0361833,0.4776,0,0,0,0,0,0,0,-7.63784e+16,0,-255,0,0,0,0,0,0,0,0
58,7.5,124.333,0.0371042,0.597,0,0,0,0,0,0,0,-1.37481e+17,0,-255,0,0,0,0,0,0,0,0
59,9,124,0.038025,0.7164,0,0,0,0,0,0,0,-2.47466e+17,0,-255,0,0,0,0,0,0,0,0
60,10.5,123.667,0.0389458,0.8358,0,0,0,0,0,0,0,-4.45439e+17,0,-255,0,0,0,0,0,0,0,0
61,12,123.333,0.0398667,0.9552,0,0,0,0,0,0,0,-8.0179e+17,0,-255,0,0,0,0,0,0,0,0
62,13.5,123,0.0407875,1.0746,0,0,0,0,0,0,0,-1.44322e+18,0,-255,0,0,0,0,0,0,0,0
63,15,122.667,0.0417083,1.194,0,0,0,0,0,0,0,-2.5978e+18,0,-255,0,0,0,0,0,0,0,0
64,16.5,122.333,0.0426292,1.3134,0,0,0,0,0,0,0,-4.67604e+18,0,-255,0,0,0,0,0,0,0,0
65,18,122,0.04355,1.4328,0,0,0,0,0,0,0,-8.41687e+18,0,-255,0,0,0,0,0,0,0,0
66,18,123,0.04395,1.4616,0,0,0,0,0,0,0,-1.51504e+19,0,-255,0,0,0,0,0,0,0,0
67,18,124,0.04435,1.4904,0,0,0,0,0,0,0,-2.72707e+19,0,-255,0,0,0,0,0,0,0,0
68,18,125,0.04475,1.5192,0,0,0,0,0,0,0,-4.90872e+19,0,-255,0,0,0,0,0,0,0,0
69,23.6,124.4,0.045622,1.91592,0,0,0,0,0,0,0,-8.83569e+19,0,-255,0,0,0,0,0,0,0,0
70,29.2,123.8,0.046494,2.31264,0,0,0,0,0,0,0,-1.59042e+20,0,-255,0,0,0,0,0,0,0,0
71,34.8,123.2,0.047366,2.70936,0,0,0,0,0,0,0,-2.86276e+20,0,-255,0,0,0,0,0,0,0,0
72,40.4,122.6,0.048238,3.10608,0,0,0,0,0,0,0,-5.15297e+20,0,-255,0,0,0,0,0,0,0,0
73,46,122,0.04911,3.5028,0,0,0,0,0,0,0,-9.27535e+20,0,-255,0,0,0,0,0,0,0,0
74,43.4444,121.833,0.0491639,3.3082,0,0,0,0,0,0,0,-1.66956e+21,0,-255,0,0,0,0,0,0,0,0
75,40.8889,121.667,0.0492178,3.1136,0,0,0,0,0,0,0,-3.00521e+21,0,-255,0,0,0,0,0,0,0,0
76,38.3333,121.5,0.0492717,2.919,0,0,0,0,0,0,0,-5.40939e+21,0,-255,0,0,0,0,0,0,0,0
77,35.7778,121.333,0.0493256,2.7244,0,0,0,0,0,0,0,-9.73689e+21,0,-255,0,0,0,0,0,0,0,0
78,33.2222,121.167,0.0493794,2.5298,0,0,0,0,0,0,0,-1.75264e+22,0,-255,0,0,0,0,0,0,0,0
79,30.6667,121,0.0494333,2.3352,0,0,0,0,0,0,0,-3.15475e+22,0,-255,0,0,0,0,0,0,0,0
80,28.1111,120.833,0.0494872,2.1406,0,0,0,0,0,0,0,-5.67856e+22,0,-255,0,0,0,0,0,0,0,0
81,25.5556,120.667,0.0495411,1.946,0,0,0,0,0,0,0,-1.02214e+23,0,-255,0,0,0,0,0,0,0,0
82,23,120.5,0.049595,1.7514,0,0,0,0,0,0,0,-1.83985e+23,0,-255,0,0,0,0,0,0,0,0
83,20.4444,120.333,0.0496489,1.5568,0,0,0,0,0,0,0,-3.31173e+23,0,-255,0,0,0,0,0,0,0,0
84,17.8889,120.167,0.0497028,1.3622,0,0,0,0,0,0,0,-5.96112e+23,0,-255,0,0,0,0,0,0,0,0
85,15.3333,120,0.0497567,1.1676,0,0,0,0,0,0,0,-1.073e+24,0,-255,0,0,0,0,0,0,0,0
86,12.7778,119.833,0.0498106,0.973,0,0,0,0,0,0,0,-1.9314e+24,0,-255,0,0,0,0,0,0,0,0
87,10.2222,119.667,0.0498644,0.7784,0,0,0,0,0,0,0,-3.47653e+24,0,-255,0,0,0,0,0,0,0,0
88,7.66667,119.5,0.0499183,0.5838,0,0,0,0,0,0,0,-6.25775e+24,0,-255,0,0,0,0,0,0,0,0
89,5.11111,119.333,0.0499722,0.3892,0,0,0,0,0,0,0,-1.12639e+25,0,-255,0,0,0,0,0,0,0,0
90,2.55556,119.167,0.0500261,0.1946,0,0,0,0,0,0,0,-2.02751e+25,0,-255,0,0,0,0,0,0,0,0
91,0,119,0.05008,0,0,0,0,0,0,0,0,-3.64952e+25,0,-255,0,0,0,0,0,0,0,0
